評論者,星等,評論內容
Gillian (阿蕉),5,"自己一個人不小心走錯路，
誤打誤撞來用餐，實在幸運！
整家店的老闆和店員的熱情我真的被嚇到～
生意好到不行、桌數也不算少的一家店，
耐心應該要被消磨得差不多，
沒想到完全不是這麼一回事!
食物真的很好吃，每日套餐很划算，
老火例湯料好實在值得來一碗。
明明飽死還是貪心的加點了蘿蔔糕，
非常軟潤，裡面清甜的蘿蔔也很突出，
再加上煎得焦香的外皮，真的美味！
最後剩下一塊實在吃不下了，想要個塑膠袋簡單打包，
沒想到店員直接給了我一個外帶碗，真是不好意思...
喝著最後一口鴛鴦、準備要離開時，老闆突然走過來，
手上夾著一個奶黃包，直接放進我眼前的紙碗中說：
「這盒剛好讓你當今天的宵夜！」然後就笑瞇瞇的離開了。
這這這....這不是我認識的茶餐廳啊～
一切的一切都好像到了哪個眷村奶奶家一樣，被熱情的款待著呢！ 很感動很溫暖，以後一定常常來～"
Ink,5,"平價美食，5星腊味蒸飯，4星蘿蔔糕，其他一般；桌上的辣醬大概有中辣，請小心使用。

🔸腊味蒸飯
腊味飯；白飯粒粒分明，醬汁鮮甜，肝腸、臘腸跟臘肉的油甘滋味非常迷人，好吃！

🔸鹹魚雞粒炒飯
入口油甘，鹹魚味頗淡，而且有一點薄苦。

🔸腊味蘿蔔糕
比較像是台式的白玉蘿蔔糕，口感相當軟，吃起來是油甘焦香帶有蘿蔔清甜，醬汁甜酸；還不錯。

🔸港式煲老火湯
枸杞甘+棗味(?)，不合口味。

🔸鮮油菠蘿飽
主要的記憶點就奶油很厚一塊，其他一般。

🔸鮮奶油多士
沒煉乳，超級失望。

🔸招牌奶茶
味苦帶澀。"
"游, 琇Mita",1,"從進店到離開都很逼人
雖然態度沒有不好
但一切行為都在叫你趕快吃趕快走

吃飯途中沒有問一下手就直接伸到你面前
陸續一直把你桌上的東西收走
最後人還沒走抹布跟下一批客人的水就先來了
然後陸續把桌上的餐具菜單也都拿走
一個店員拿著點菜的站在你旁邊等

而且餐點很清淡很普
雖然我沒吃過正宗港式…
或是我們沒點到招牌吧…"
charlotte pan,5,"老闆很熱心～東西都很好吃連續兩週都跑來吃😋
朋友還外帶蛋塔回家

個人推薦菜色
鮮肉腐皮捲
老火湯（趁熱喝喔）
煎腸粉
乾炒牛河（喜歡不一樣濕的可選豉椒）
想試傳統港式常吃炒飯可選-西式炒飯
xo 炒蘿蔔糕
其他的等下次再訪店🥰"
N L,4,外帶橙花雞排飯，淋醬後更解膩，不錯吃
August July,3,"內場阿姨都很親切，但年輕服務人員不說話都用手指揮入座或是對話🙄，餐廳整體翻桌率很高，有大排檔的氣氛，主食跟點心上菜都快，牛肉炒麵（廣式）190元吃起來比別的港式餐廳夠味，牛肉處理得很好軟嫩好咬，檸檬蜜喝起來爽口，煎粉腸口感是之前沒嚐過的，外皮有點硬，蝦仁尺寸較小，還是喜歡一般透明腸粉的處理方式。港式蘿蔔糕煎得脆度不夠，蘿蔔糕基本上是濕軟的，跟台式非常不同。

每天都有今日特餐180元，主食份量相對小盤但會搭配80元一下飲料。
特餐之一干貝醬肉片炒麵，有干貝醬香鹹味，豬肉片裹粉帶出肉片軟嫩，唯獨炒太油，還是需要水來解膩。

乾炒牛河180元，也是非常油膩，份量偏小，不是很推薦。

可能要刺激翻桌率，阿姨們一直在“桌邊服務”有點小壓力；還有很多隱藏菜單，可以多試幾次。"
Uly Hung,5,"樸實無華的港飲餐廳，好吃平價
老闆跟店員都是道地的香港人
不用飛到香港就能吃到滿滿香港味
還有好多沒吃到的餐點，外帶一個豬扒包，下次再來補齊臘味飯😋"
Chanel P.,3,"點口味滿意：⭐️⭐️⭐️⭐️
位置交通便利：⭐️⭐️⭐️⭐️近師大夜市
菜色選擇多元：⭐️⭐️⭐️⭐️
環境舒適清潔：⭐️⭐️⭐️⭐️
服務態度優良：⭐️⭐️⭐️
親子友善：⭐️⭐️⭐️⭐️
✔️推薦 冰火菠蘿，看似平淡無奇，厚實奶油、香軟麵包。
✔️推薦 餐肉蛋公仔麵，道地港味。
✔️推薦 紅豆煎餅，餅皮味煎得很香，甜甜的紅豆餡，非常適合作為飯後甜點。
✔流沙捲內餡十足，奶酥不手軟。
✔️干炒牛河賣完好可惜。
✔蘿蔔糕、腸粉 不推薦。

老闆親切、價格實惠，建議七點左右就用餐，時近收攤時間，收盤、打掃、結帳有些倉促，吃得很趕。"
Chris Cheuk-yuen Lam,4,"我其實點了XO醬蘿蔔糕、乾炒豬肉河、餐肉蛋三明治、菠蘿油、凍鴛鴦，先說總結：4星 (75/100)

餐肉蛋三明治是當中最好吃，餐肉的肥瘦適中，蛋散發香氣，完全沒有咬下去死鹹想喝水的感覺，非常接近港式風味，90/100。

乾炒豬肉河吃起來沒香氣，太淡，河粉本身太軟爛，肉片雖然量足，可是炒太乾....勉強合格，60/100。

菠蘿油就....建議走去附近吃某菠蘿油專賣店比較正宗，這家不是不好吃，而是菠蘿包本身完全不像香港 75/100。

XO蘿蔔糕其實不錯吃，蘿蔔糕包覆著xo醬滿滿的香氣，咬下去微辛，但主要食材蘿蔔糕是典型台灣用米做的，而不是香港用蘿蔔刨絲做的....吃起來太粉真的難免扣分  80/100。

凍鴛鴦不過不失，合格以上，有70/100。

整體而言，就是對於居住在附近的人來說，這家味道不錯、價格在台北云云港式餐廳中較為親民，CP值中上，值得常來吃。可是住得遠就沒必要專程跑來吃...."
FC168,4,"非常道地港式茶餐廳，人聲鼎沸。一人來用餐有好處，很快就排到廚房前的單人座，正好可以看到廚房大鼎火炒，聽見聲音，感受到食物的鑊氣。
鹹魚蒸肉餅飯在別的茶餐廳沒吃過，蠻有特色，蒸肉餅口感稍微粉粉的，搭配一小條鹹魚蠻下飯。「鮮肉」腐皮捲口味比較道地，和一般台灣的飲茶餐廳的「鮮蝦」腐皮卷不同。楊枝甘露大推，口味濃稠非常好喝。"
EVELYN WU,5,"當天下午約1：30用餐，店內還是客滿的狀態，大約等了5分鐘後才入座～
-乾炒豬河：不會過鹹過油，鍋香味十足 豬肉給的份量滿多的也很嫩不會咬不動
-乾炒牛河：也是鍋氣十足，好吃！
-XO炒蘿蔔糕：份量沒有很大，雖然好吃但價格偏貴
-蝦米煎腸粉：很特別的口感，外酥內Q 搭配醬汁一起吃很好吃
-港式奶茶：夠濃夠冰，不會太甜 好喝
總結：會再回訪，雖然人潮很多但因為店家上菜很快所以翻桌率很高，不會等太久！好吃餐點品項也很多～"
Wu,5,"一直很想念香港地道的茶餐廳風味，這次終於找到機會造訪。
點了幾樣經典菜色，整體而言，食物品質非常出色，幾乎沒有踩雷。
乾炒牛河： 這是我個人最期待的一道。鑊氣十足，牛肉片滑嫩，河粉根根分明且不油膩，味道鹹淡適中，非常道地。
冰火菠蘿油： 菠蘿包外皮酥脆鬆軟，內餡的冰涼牛油（奶油）在熱氣中融化，創造出完美的冷熱交融口感，甜而不膩，是必點小品。
鹹檸檬雪碧：解渴夠味，為整餐畫龍點睛。
表現令人驚艷，無論是食物的口味、份量還是性價比都非常高。我個人非常滿意，下次還會想再來試試其他的港點！"
Huan-Chun Lu,5,"總共訪了三次。每次都是選擇障礙，每一樣看起來都很好吃。店內濃濃的港式風格，可以聽到很多人講廣東話哈哈哈
喜愛程度的話：餐肉蛋豬排＞揚州炒飯＞綜合咖哩麵。
老闆很可愛，上次和同學去吃還送紅豆煎餅，很好吃。
對了，桌上的那個醬料（不知道是什麼哈哈）但是又辣又油又鹹又香，超好吃，根本下飯神器。
菜單品項真的超多，還會回訪很多次。"
一閃一閃亮金金,5,"4.2星，初訪，服務親切幽默，用餐時間人潮洶湧，上菜快，翻桌快，環境無悠閒感。2人點餐，老火湯90元，臘味蘿蔔糕80元（它的配醬很特別，但不習慣），鮮肉腐皮卷120元（強推），蝦米煎腸粉80元，鮮奶菠蘿60元×三個，咖哩綜合120元。餐點都有一定水準之上，最最最驚艷我的是，鮮肉腐皮卷。ps菠蘿油一人吃一個就好了，吃兩份的話會很飽，就比較吃不下其他的了,😅"
陳誼珊 Esther Chen,3,"味道有調整過,整體偏清淡
但整間店非常有效率,不管是座位安排還是收餐盤的速度
不管點多點少
都會讓客人從準備入座到結帳,在半小時內體驗完畢"
黃怡婷Yi-ting,5,名不虛傳的平價美食，光喝老母雞火湯就有挖到寶的開心，雞腿肉燉得透骨，裡面還放了顧氣管花旗蔘，一碗$80佛心又好喝壓~~今天點了臘味飯套餐、蘿蔔糕、綜合咖哩(魚丸/貢丸/鴨血和蘿蔔)、招牌鴛鴦-一定要兩管糖包都加下去才過癮(平常不太喝甜飲的我還是捧場喝了半杯)，老闆招呼詳細忙中不亂、點完餐不到5分鐘已經刷刷幾乎上完，難怪在平日的12點不到店內位子就已坐了大半。臨走外帶一份不在菜單上的流沙酥（奶酥餡兒）的，孩子也兩三口清潔溜溜。地處永康商圈較邊陲，離東門捷運要10分鐘以上是唯一美中不足，但絲毫無損想要再帶家人朋友來的欲望。
有原蔡,4,餐點可以一吃，介藍好吃，稍油一點但還好，餐點品項看各人喜好，出餐快，有香港的特色效率高急，廚房師傅配料出餐快，服務不錯，餐期人多，等一下也還好，平日用餐可以參考，店家搬到愛國東路101號的新地點，環境較之前好，餐期人多，來此用餐離峰時段較能好好的用餐，路過可吃看看
HuBer君,3,"必須說鑫華的幾道港式料理口味與做法真的有讓我驚喜到，因為挺道地而且由於期待值不高所以才發現還算好吃，更讓我印象深刻是老闆超好客超親切欸～都會照顧客人很細心(比如因為環境較窄小、幫忙放重物到置物籃，關切是否吃飽與口味如何)，因為鑫華的餐廳環境算挺有範…就是單一色調、也沒有說什麼給人特別乾淨的感覺，反正就很香港，但沒有香港那種很破罵客人的服務，實在必須給讚👍🏻。

說說餐點，港式炒麵的部分完全不輸價格貴上幾倍的茶樓，而且有符合我心目中廣炒該有的樣子，也就是麵是有炸過是脆的，份量不會過多剛剛好且上方的海鮮料烹調的都很嫩；菠蘿油當天吃比較可惜是我放到冷了才吃，不確定原本熱度夠不夠但鑫華的菠蘿油有好吃欸～奶香味很足，不像一些台式的菠蘿包本身不太有味道，鑫華是從麵包就有烘烤奶油的滋味了。

蘿蔔糕的話同行朋友都覺得挺好吃，我覺得他們家是有點煎到外皮在焦掉的邊緣，抓的蠻剛好，蘿蔔糕搭醬油膏本身則是比較台式啦～ 最後是失望的奶皇包，因為第一次看到有炸的所以點，本來以為會有銀絲卷的感覺，但同樣外表是有差點炸過頭、有滲出苦味了，然後沒能到太酥脆畢竟就是包子皮，然後果然奶皇包就不是流沙包😆沒有爆漿、且炸的變成搭起來偏乾口感，真的不能點。

總結初嚐鑫華是印象挺不錯，也有看到香港人來吃，而且價格真的很便宜了、CP算高，不過鑑於個人吃壞肚子(可能是供的水味道怪怪的？)，會再觀望是否二訪。"
新鮮的EGG,4,"很難得在東門價位很親民
4人吃了870
禮拜五去是客滿的狀態
推薦炒牛河的肉好吃
如果沒有特別說楊枝甘露要後上的話
店家會餐前就上喔"
李貫詣,5,"搬家之後老闆跟店員還是一樣熱情
餐點份量蠻夠的 兩個人各點一個主食+小菜還有飲料 400上下可以吃得很飽又開心
牛河十分好吃 大學期間常常光顧 畢業後還是會特地跑來吃"
hanmin,5,平日中午人潮很多 排隊時先填菜單 坐下後上菜速度非常快 飲料最先上 招牌奶茶和檸檬紅茶真的好好喝 很想續杯的那種程度☺️乾炒牛河吃到一半想換口味可以加旁邊的辣椒醬！好好吃😋
Jim Hung,3,點了 乾炒牛河，臘味蘿蔔糕 和 芋頭排骨煲。牛肉些微偏乾，不是很嫩。蘿蔔糕的蘿蔔確實不少，但就此而已，味道平淡。芋頭排骨煲，不曾在香港吃過，不好評斷，但是沒有芋香，可能是被椰汁蓋過。
栗小魚,5,原位於台北市永康街後面金華街附近鄰近新生國小附近，後來轉移到金華公園地下停車場附近小巷子裡，這邊新用餐環境乾淨整潔舒適大，餐點有多種可選擇，餐點多種單點，也有每日優惠套餐組合（主餐+飲料）$180 ，銀芽肉絲炒麵：炸像餅乾麵條又脆滿滿銀芽菜.香菇.肉絲加上特製勾芡的醬汁，又香又濃郁醬汁組合味道更好吃，廣東炒麵：一樣脆麵加上滿滿海鮮.肉.蔬菜，份量都十足，加上一杯凍檸檬紅茶飲料$80，用湯匙戳戳檸檬片讓味道吃滲入紅茶，味道十足解渴解膩酸甜茶滋味，小孩愛吃餐肉蛋三明治及菠蘿麵包.奶皇包也不錯吃，老闆&老板娘都是香港人，對小孩很友善，出餐速度快，空間可，適合親子用餐餐廳，附近有公園地下停車場，鄰近永康街。用餐時刻生意超好人潮眾多，常常一位難求。翻桌率高。
Ann Chen,3,"送餐很亂！
明明有桌號 卻要在那裡喊菜名要人認領
很急迫的帶港腔普通話有的實在很難聽懂
而且客人還會亂認餐
老闆是很熱情，櫃檯也親切告知不熟悉的菜名是什麼餐點。
蝦米煎粉腸，搭配花生甜鹹醬汁好吃！
炒牛河、午餐肉公仔麵就不合胃口了"
Kelly H,4,"照片拍少了，兩個人在永康附近尋覓晚餐，點了越式牛肉河粉還有起司豬排公仔麵，腸粉，港式奶茶，炸奶油包。

以食物的水準，口味是有讓我想起香港的食物，而且奶茶是茶味很濃真的很喜歡。
下次還想再來嘗試其他的。"
Kelvin Chen,5,"餐廳名稱：香港鑫華茶餐廳
住址：106台北市大安區永康街48號
營業時間：星期一 ～星期日 10:30~14：00，16：30～20：30

這間茶餐廳雖然店名的開頭稱作香港茶餐廳，但他位置當然不是在香港，但是呢老闆與工作人員真的是有許多的港腔的香港人，所以你在裡頭用餐依然可以感受到那股滿滿的香港氛圍，從老闆的畫符紙的菜單，到收盤很快的節奏感，簡直就跟在香港吃飯一樣的緊湊，就差在沒有讓你用熱開水洗洗筷子而已。然而這家店位於台北之名的永康商圈的週圍，刊得上在這裡的老店了。但原來的位置不是在這，幾年前搬進到巷子內。當然生意依然非常的好。最為推薦的就是澄汁雞排與乾炒牛河了。這澄汁雞排也在這吃上十幾年了，從一份100隨著全球物價上漲，現在一份也要150元，實在是時代的眼淚。不過好吃的東西還是好吃，更是值得吃，最後千萬別忘了多點一杯港式奶茶這樣才是真正對味的港式茶餐廳

在忙碌的一天，與你分享我的下班  食   間"
ت ZT,5,"店員都是香港人（態度很好！！）
環境乾淨明亮

沙茶海鮮公仔麵200$
乾炒牛河200$
鴛鴦奶茶80$
西多士100$

份量很大 公仔麵的料蠻多的
牛河🈶️鍋氣 很香😵‍💫😵‍💫"
劉得群,4,"2025/03/08（星期六） 中午用餐
第二次到訪，開門30分鐘已經2/3滿了
法蘭西多士、鹹檸雪碧是每次的固定餐點
法蘭西多士中間夾著花生醬，切十字之後再沾滿楓糖漿，螞蟻人完全無法抗拒
這次嘗試臘味蒸飯也是水準之上，香腸、臘腸、叉燒配上淋滿深色醬汁的蒸飯，兩人分食剛剛好，"
童彤,5,"20240424初訪
三人吃了$1450
大家都好飽～

法蘭西多士跟蘿蔔糕都好好吃
炒飯也是粒粒分明覺得好幸福
原本想點炒麵但已經點很多擔心吃不完
還有機會再吃的話再來吃看看炒麵
這次喝了檸檬利賓納可能就是凍檸茶嗎？
檸檬酸葡萄汁甜，酸甜好滋味❤️

適合三五好友聚餐吃"
陳炫龍,5,"餐廳整潔：四星
服務品質：四星
服務態度：五星
出餐速度：六星
餐點品質：四星
餐點價格：四星
乾炒牛河：牛肉及河粉軟嫩，味道適中不會過鹹。
菠蘿油：我點了一個之後又加點了一個😅
蔥油雞飯：配菜很健康，我很喜歡，雞肉味道很好，可惜的是有點硬。
腐皮捲：味道很好，只是有點油，是表面就看得到的油，不過吃起來倒是不會膩。
蘿蔔糕：份量十足，完全擊潰我們的胃，味道算是好吃的。
鴛鴦奶茶：個人不愛，我們是點熱的，糖是自己加所以甜度我們沒有調整好，因此我覺得還好，下次點冰的看看。
總共花了600多元，吃得很滿足。
整體我給4.5顆星"
Yang,4,"2025／05
上菜快速口味偏重
價位在這一帶尚可
只是假日用餐時段
服務員會急於收拾
個人感覺不是很好"
Kevin Chang,1,"服務態度超差！很少去餐廳被趕的壓迫感，排隊排了半小時進去，開始被逼迫似的一直來收空盤，到最後女兒碗裡剩2口飯，拿水杯時不小心打翻了水…服務員很不爽地拿抹布跑過來跟老婆說：小姐妳可以起來了！
我聽了火都起來了！女兒還沒吃完飯只是不小心打翻水就要趕人？豈有此理！
再也不會去消費受氣了！"
Jai-shiun Lee (Chia hsun),4,種類眾多的港式餐廳，吃的到道地的口味，但是餐點目錄選擇多，建議先看google等推薦商品下手，圖片的都非常好吃又驚豔，不過上次朋友來時人爆滿，只給一次點餐機會（很有壓力）；這次來，很多空位，我們點了兩次餐，不會太有壓力，大家可考慮人少時前往，會納入可再光顧的店家。
劉耀元,4,中午簡餐，人很多，份量較小，味道不錯。
王樹德,3,出餐快速的茶餐廳，店內座位不多，用餐時間可能要稍微等候，點完餐大約10分鐘就送上餐桌，口味還不錯。
Weiyu Chen,5,香港人來台北開的，口味很道地，那個蝦米煎粉腸口感很棒酥脆軟爛的口感集為一身，厲害
Huang Rita,4,西多士不膩好吃，乾炒牛河入味可口，蘿蔔糕味道不錯👍，用餐時間人多，店家很會安排座位，雖然座位偏擠，但不會等太久。
Ming-Han Chung,3,"看評價不錯來吃看看，隨意點了一些，整體口味有些普通，且用餐環境稍嫌擁擠、只能付現，以這不算便宜的價格來說，差強人意。

乾炒牛河： 牛肉蠻嫩的，但整體香氣不太足，感覺少了一味。

菠蘿包：還算不錯，奶香味濃，口感也好。

鹹檸檬雪碧：鹹檸檬味道跟以前喝過的不太一樣，個人不愛。

楊枝甘露：質地偏濃稠，味道卻偏淡，料也乏善可陳，有點雷。"
Michelle Cai,5,"地圖上評價很高，就來嘗試看看了！
果然名不虛傳啊😂😂😂
前一天訂位店員還說來就有位置了，的確現場剛好有位置，但是人潮很多呢，整個都坐滿唷🥰
我覺得餐點都非常好吃！
這次我點了餐肉蛋豬排飯，上面寫著本店特別推薦，份量吃得很飽，不過我覺得有點偏鹹，可能我吃得比較清淡😂
吃港式一定要點鮮油菠蘿飽，菠蘿吃起來酥酥的，夾一層奶油特別罪惡，但是太好吃了啦～
芝麻糊是我私心喜歡，所以就點了首烏芝麻糊嘗試看看，非常濃稠好喝
整個完全沒有雷耶🥰🥰🥰
推一波👍🏻👍🏻👍🏻👍🏻👍🏻"
Yanen안은,5,"22/12/11 再來，已經140萬點閱，已經吃了15年 左右 孩子都大了！懷念的味道⋯⋯今天22/8/17XO醬蘿蔔糕真的太好吃😋、鮮牛肉三文治、橙汁🐔腿🦵🏻一定要鴛鴦奶茶☕️
堪稱其一絕，照片今天補上、永康街美食，女兒同學：我媽媽以為老闆中樂透所以收店，原來搬來這裏，好多年沒吃到，價格親民跟美味拉扯，已經很難得。如果覺得要更提升勢必價格上漲，是勢在必行的，所以大家要珍惜。最近常常遇到地雷店家常常都是因為沒辦法👐堅持✊口味，一味追求低價配合客人，最後我絕對不會去！像鑫華他們這樣已經很厲害👍🏻～"
王孝庭（Marco）,4,"疫情緣故，導致無法到香港品嚐地道的「港式餐飲」
經朋友推荐，這裡是目前台北市應該有的香港水準
特此過來鑑賞品味
今日總共四個人，所以餐點的選擇性可以多
提早11點多到來，人流確實少，服務小哥對於菜色也清楚介紹著，上菜速度也不慢
其實很想吃煲仔飯，無奈店裡沒有提供呀！

咖哩綜合－就是一般的咖哩魚丸，普普
芋頭排骨煲－店小哥推荐，芋頭口感很棒，值得
豆沙煎餅－皮薄、餡多、不甜
餐肉蛋炒公仔麵－在台灣很少吃到「午餐肉」，味道可以的
餐肉蛋湯麵－口感很像泡麵
特式鴛鴦－沒啥特別
楊枝甘露－一般般
首烏芝麻糊－大推，濃醇香
清炒時蔬〈波菜〉－還行
XO醬煎腸粉－煎的很酥脆，好吃
鹹魚蒸肉餅飯－鹹魚口感很獨特，不錯吃、好下飯
鹹蛋臘味蒸飯－是今日特餐，臘味還算正宗

個人認為價格有點『偏高』
建議提早來用餐
人多選擇性也就多"
Lexie Ho,1,"服務態度好。但食物真的超不okay
楊枝甘露的芒果是芒果乾泡發的，口感很詭異，風味也很不好吃。炒公仔麵就很油很普通，炒飯沒有鍋氣，過譽很多。失望而歸"
Jassi Shen,5,道地的好味道！這次點鴛鴦奶茶、西多士、炒蘿蔔糕、炒公仔麵，都很好吃！生意非常好，還好上菜換桌挺快的，推薦吃！
Foxcy Chen,5,跟一般的茶餐廳不太一樣，每道滿不錯的，週日晚上來開店前就在排隊，腸粉是有煎過，醬汁是花生醬加醬油，好吃，臘味蒸飯跟招牌餐肉蛋豬排飯也好吃，鴛鴦個人覺的還好
William Chung,4,"青康龍小巷裏的茶餐廳，亂晃經過進來，感覺沒開很久，整體味道ok,不會太油太鹹，價格可以，服務比香港舒適，不會催趕急。蠔油時蔬，有點意外，口味太家常了，份量不多，用中型碗上菜；揚州炒飯很特別有配醃菜（滷筍）炒飯功力可以；臘味蒸飯有附半顆鹹蛋也很特別；XO醬煎腸粉，無特別。伴隨大量港人移民潮，茶餐廳如雨後春筍出現街頭，廚藝規格也高低不一，厲害的真的很強、普通水平的也不少。多多動筷嚐嚐看。 …"
Ju Ran,5,"朋友推薦的，自己吃過也覺得很好吃，之後有去永康街會再去吃

XO牛肉炒公仔麵很夠味，牛肉軟嫩，喜歡重口味的可以點
炒高麗菜很清脆，能吃到高麗菜的鮮甜"
yifang Chiang,4,一個人，只能吃套餐，一群人，就可以卯起來點。XO炒蘿蔔糕，辣椒，綠豆芽，焦煎的剛剛好，要點。法蘭西多士，就是法式吐司的味道，有加花生醬，一口就是那味道。鮮奶油多士，鮮奶油一點也不含糊，厚、不油膩，但膽固醇高的人，吃一口就好。餐肉蛋三文治，蛋厚，肉是美軍在台時期的那種罐頭，吃一種過去的回憶。港式薄餅，餅油煎，沾花生醬配蒜片，花生醬很香。餐肉蛋炒公仔麵，麵好吃，大人、小孩都愛，蛋味道也好。咖喱綜合，就是吃個周星馳的回憶啊！鮮肉腐皮卷，香煎，大人、小孩都愛。鮮油菠蘿包，真是邪惡的食物，幸好是分著吃，不然那塊奶油絕對飆膽固醇啊！好吃，價格也能接受，上門的客人頗多，要挑對時間去啊！
Yuki Zheng,5,"超級好吃的茶餐廳🤩已經一訪再訪
老闆超級親切，來吃飯總是很開心
老闆的口音是不管來了台灣多久 …"
Jason L,5,"環境雖然比較擠一點（那也是因為生意太好），還是蠻乾淨的，等待的時間也沒有太久。食物的部分調味很不錯，應該是適合台灣人口味的，點飯的話吃飽完全沒問題，一些必點的港點，腐皮捲、波羅包、港式蘿蔔糕都很好吃， 飲料也很棒，非常完整的一餐。Foods here are well-flavored, you can have a proper meal or a snack alike here, beverage is also served, and the cook seems to be the real HK people, so no doubt for dining here!"
糖糖媽,5,上菜速度很快速，服務的啊姨也很親切，奶茶是無糖的有附糖包。每一道菜都滿好吃的 可以回訪。店內也很明亮 用餐的感覺很好
joan chen,4,"辣椒屬於偏鹹有辣
福建炒飯-算好吃、炒飯鍋氣有
馬來西亞炒米粉-咖喱沒有很重、料算多，搭配辣椒還不錯 …"
廖昱琪,5,"上菜速度超級快👏🏻老闆和員工們都好可愛😍人都超好的！老闆還招待我們一道菜✨超級感謝🥹
東西十分的美味 吃完後更加想要去香港🇭🇰
兩個人吃真的超級霹靂飽 超級滿足 吃不完的也都打包帶走 順便外帶回家(˶‾᷄ ⁻̫ ‾᷅˵) …"
Francis Li,5,"我的天啊超好吃。。。

炒牛河 薄餅 炒蘿蔔糕 奶茶 西多士 菠蘿油 …"
Tsao Lien,5,"非常道地的港式茶餐廳，不論麵飯粥點心都真的很厲害，尤其每天不同的港式中藥煲湯是台北越來越難找到的老火口味。

麵類很喜歡港式炒麵，肉片魷魚爆的香Q油脆，麵條也是油香油香，扮勾芡汁液非常爽口！ …"
William Chung,4,"青康龍小巷裏的茶餐廳，亂晃經過進來，感覺沒開很久，整體味道ok,不會太油太鹹，價格可以，服務比香港舒適，不會催趕急。蠔油時蔬，有點意外，口味太家常了，份量不多，用中型碗上菜；揚州炒飯很特別有配醃菜（滷筍）炒飯功力可以；臘味蒸飯有附半顆鹹蛋也很特別；XO醬煎腸粉，無特別。伴隨大量港人移民潮，茶餐廳如雨後春筍出現街頭，廚藝規格也高低不一，厲害的真的很強、普通水平的也不少。多多動筷嚐嚐看。
廚藝：可以
口味：感覺配合台人口味有調淡
價格：現金，不算平民，但可接受
服務：ok,收桌很快
環境：乾淨衛生、無明顯油煙味
整體：偏家常餐廳，無驚艷
推薦指數：3/5
回頭機會：2/5"
Yuki Zheng,5,"超級好吃的茶餐廳🤩已經一訪再訪
老闆超級親切，來吃飯總是很開心
老闆的口音是不管來了台灣多久
都還是根深蒂固的港式發音
這裡的料理味道也很正宗不走味

每次最期待的就是當日的港式煲老火湯
湯底每次的組成可能不太一樣
但喝起來都有夠潤喉暖身子
冬天去想喝，夏天去也想喝
真心推薦一定要喝❤️

餐點味道都非常棒
幾乎每次去吃，都能聽到
旁邊的客人帶自己的朋友、家人來吃

非常喜歡
👍港式煲老火湯：必喝！每次湯底都不太一樣，但都值得期待
👍乾炒牛河：鍋香很足，吃起來Q彈不油
👍港式炒麵：麵體香脆，料足味鮮，份量真的很多
👍橙花雞排飯：橙花醬甜甜的，香氣濃郁，自己可以選擇要淋多少，雞排炸得酥脆多汁
👍香菇蒸滑雞飯：蒸飯類的都很推薦，飯被蒸得軟軟糯糯，吸飽食材的香氣

整體而言是會一來再來，而且會非常願意帶朋友來的店家。"
joan chen,4,"辣椒屬於偏鹹有辣
福建炒飯-算好吃、炒飯鍋氣有
馬來西亞炒米粉-咖喱沒有很重、料算多，搭配辣椒還不錯
虎皮肉腐捲-感覺很像在吃肉卷但沒有肉
咖喱魚蛋-鴨血好像沒有那麼搭、咖喱味道較清淡、蘿蔔、魚蛋就都沒有到入味
鴛鴦奶茶很濃郁好喝
養生排骨湯-是用無花果很特別的味道
XO炒蘿蔔糕-蘿蔔糕很軟真材實料有蘿蔔絲口感、XO醬沒有很多就是淡淡味道但每個塊都有沾到的清爽感"
廖昱琪,5,"上菜速度超級快👏🏻老闆和員工們都好可愛😍人都超好的！老闆還招待我們一道菜✨超級感謝🥹
東西十分的美味 吃完後更加想要去香港🇭🇰
兩個人吃真的超級霹靂飽 超級滿足 吃不完的也都打包帶走 順便外帶回家(˶‾᷄ ⁻̫ ‾᷅˵)"
Francis Li,5,"我的天啊超好吃。。。

炒牛河 薄餅 炒蘿蔔糕 奶茶 西多士 菠蘿油
太讚 服務親切 老闆的粵語太有親和力😆
缺點就是吃飯時間要排隊！"
Tsao Lien,5,"非常道地的港式茶餐廳，不論麵飯粥點心都真的很厲害，尤其每天不同的港式中藥煲湯是台北越來越難找到的老火口味。

麵類很喜歡港式炒麵，肉片魷魚爆的香Q油脆，麵條也是油香油香，扮勾芡汁液非常爽口！
飯要推的太多，但其中福建燴飯是比較少見，是用罐頭鮑魚片與豆腐青菜共燴，罐頭鮑魚有一種奇妙的口感與甜度，我也蠻愛。

點心也是都強，麵包的話我推公司三明治，起司片與烘蛋混合的超厚大海綿夾吐司就是一個爽！

之前有一陣子太常去吃，吃到不知道想點甚麼的時候，每日特餐就是不用想，樣樣都招牌，而且CP值超高！
每天的每日特餐會有5種選項 = 一份主餐+一杯正常量的認真港式飲料
常駐的像是臘味（蒸）飯，牛肚牛肉麵，愛吃臘味的人很建議點臘味飯，分類如果有的不足可以另外補一份咖哩綜合，或是快吃完時加點一份煎腸粉（煎的很脆，醬料很好吃！）。

開到8：00但大約7:45就會陸續開始收拾，超過7：50可能就要看看裡面其他客人的狀況，不然可能就不收客了。

打烊前有時候會看到老師傅在用廣東話叫菜，是很親切又老派的美好畫面。"
